carat	 color	 clarity	 depth	 table	 price	 x	 y	 z	 heavy	 cut_now
0.96	 F	 SI2	66.3	62	2759	6.27	5.95	4.07	1	1
0.73	 E	 SI1	61.6	59	2760	5.77	5.78	3.56	0	3
0.8	 H	 SI1	61.5	58	2760	5.97	5.93	3.66	1	4
0.75	 D	 SI1	63.2	56	2760	5.8	5.75	3.65	0	3
0.75	 E	 SI1	59.9	54	2760	6	5.96	3.58	0	4
0.74	 G	 SI1	61.6	55	2760	5.8	5.85	3.59	0	5
0.75	 G	 VS2	61.7	58	2760	5.85	5.79	3.59	0	4
0.8	 I	 VS1	62.9	56	2760	5.94	5.87	3.72	1	5
0.75	 G	 SI1	62.2	55	2760	5.87	5.8	3.63	0	5
0.8	 G	 SI1	63	59	2760	5.9	5.81	3.69	1	4
0.74	 I	 VVS2	62.3	55	2761	5.77	5.81	3.61	0	5
0.81	 F	 SI2	58.8	57	2761	6.14	6.11	3.6	1	5
0.59	 E	 VVS2	62	55	2761	5.38	5.43	3.35	0	5
0.8	 F	 SI2	61.4	57	2761	5.96	6	3.67	1	5
0.74	 E	 SI2	62.2	56	2761	5.8	5.84	3.62	0	5
0.9	 I	 VS2	63	58	2761	6.16	6.12	3.87	1	4
0.74	 G	 SI1	62.2	59	2762	5.73	5.82	3.59	0	3
0.73	 F	 VS2	62.6	56	2762	5.77	5.74	3.6	0	5
0.73	 F	 VS2	62.7	53	2762	5.8	5.75	3.62	0	5
0.8	 F	 SI2	61.7	58	2762	5.98	5.94	3.68	1	4
0.71	 G	 VS2	62.4	54	2762	5.72	5.76	3.58	0	5
0.7	 E	 VS2	60.7	58	2762	5.73	5.76	3.49	0	5
0.8	 F	 SI2	59.9	59	2762	6.01	6.07	3.62	1	5
0.71	 D	 SI2	62.3	56	2762	5.73	5.69	3.56	0	5
0.74	 E	 SI1	62.3	54	2762	5.8	5.83	3.62	0	5
0.7	 F	 VS2	61.7	63	2762	5.64	5.61	3.47	0	3
0.7	 F	 VS2	64.5	57	2762	5.57	5.53	3.58	0	1
0.7	 F	 VS2	65.3	55	2762	5.63	5.58	3.66	0	1
0.7	 F	 VS2	61.6	60	2762	5.65	5.59	3.46	0	4
0.91	 H	 SI1	61.4	56	2763	6.09	5.97	3.7	1	4
0.61	 D	 VVS2	59.6	57	2763	5.56	5.58	3.32	0	3
0.91	 H	 SI2	64.4	57	2763	6.11	6.09	3.93	1	1
0.91	 H	 SI2	65.7	60	2763	6.03	5.99	3.95	1	1
0.77	 H	 VS2	62	56	2763	5.89	5.86	3.64	0	5
0.71	 D	 SI1	63.6	58	2764	5.64	5.68	3.6	0	3
0.71	 D	 SI1	61.9	59	2764	5.69	5.72	3.53	0	5
0.7	 E	 VS2	62.6	60	2765	5.62	5.65	3.53	0	3
0.77	 H	 VS1	61.3	60	2765	5.88	5.9	3.61	0	3
0.63	 E	 VVS1	60.9	60	2765	5.52	5.55	3.37	0	4
0.71	 F	 VS1	60.1	62	2765	5.74	5.77	3.46	0	3
0.71	 F	 VS1	61.8	59	2765	5.69	5.73	3.53	0	4
0.76	 H	 SI1	61.2	57	2765	5.88	5.91	3.61	0	5
0.64	 G	 VVS1	61.9	56	2766	5.53	5.56	3.43	0	5
0.71	 G	 VS2	60.9	57	2766	5.78	5.75	3.51	0	4
0.71	 G	 VS2	59.8	56	2766	5.89	5.81	3.5	0	4
0.7	 D	 VS2	61.8	55	2767	5.68	5.72	3.52	0	3
0.7	 F	 VS1	60	57	2767	5.8	5.87	3.5	0	3
0.71	 D	 SI2	61.6	55	2767	5.74	5.76	3.54	0	5
0.7	 H	 VVS2	62.1	64	2767	5.62	5.65	3.5	0	2
0.71	 G	 VS1	63.3	59	2768	5.52	5.61	3.52	0	3
0.73	 D	 SI1	60.2	56	2768	5.83	5.87	3.52	0	3
0.7	 D	 SI1	61.1	58	2768	5.66	5.73	3.48	0	3
0.7	 E	 SI1	60.9	57	2768	5.73	5.76	3.5	0	5
0.71	 D	 SI2	61.7	59	2768	5.71	5.67	3.51	0	4
0.74	 I	 SI1	61.3	56	2769	5.82	5.86	3.57	0	5
0.71	 D	 VS2	62.5	60	2770	5.65	5.61	3.52	0	4
0.73	 G	 VS2	61.4	59	2770	5.83	5.76	3.56	0	4
0.76	 F	 SI1	62.9	57	2770	5.79	5.81	3.65	0	3
0.76	 D	 SI2	62.4	57	2770	5.78	5.83	3.62	0	5
0.71	 F	 SI1	60.7	56	2770	5.77	5.8	3.51	0	5
0.73	 G	 VS2	60.7	58	2770	5.87	5.82	3.55	0	4
0.73	 G	 VS1	61.5	58	2770	5.79	5.75	3.55	0	4
0.73	 D	 SI2	59.9	57	2770	5.92	5.89	3.54	0	5
0.73	 G	 VS2	59.2	59	2770	5.92	5.87	3.49	0	4
0.72	 H	 VVS2	60.3	56	2771	5.81	5.83	3.51	0	3
0.73	 F	 SI1	61.7	60	2771	5.79	5.82	3.58	0	3
0.71	 G	 VS2	61.9	57	2771	5.73	5.77	3.56	0	5
0.79	 F	 SI2	61.9	55	2771	5.97	5.92	3.68	0	5
0.73	 H	 VVS1	60.4	59	2772	5.83	5.89	3.54	0	3
0.8	 F	 SI2	61	57	2772	6.01	6.03	3.67	1	3
0.58	 G	 VVS1	61.5	55	2772	5.39	5.44	3.33	0	5
0.58	 F	 VVS1	61.7	56	2772	5.33	5.37	3.3	0	5
0.71	 E	 VS2	59.2	61	2772	5.8	5.88	3.46	0	2
0.75	 D	 SI2	61.3	56	2773	5.85	5.89	3.6	0	5
0.7	 D	 VS2	58	62	2773	5.87	5.78	3.38	0	4
1.17	 J	 I1	60.2	61	2774	6.83	6.9	4.13	1	3
0.6	 E	 VS1	61.7	55	2774	5.41	5.44	3.35	0	5
0.7	 E	 SI1	62.7	55	2774	5.68	5.74	3.58	0	5
0.83	 I	 VS2	64.6	54	2774	5.85	5.88	3.79	1	2
0.74	 F	 VS2	61.3	61	2775	5.8	5.84	3.57	0	3
0.72	 G	 VS2	63.7	56.4	2776	5.62	5.69	3.61	0	3
0.71	 E	 VS2	62.7	58	2776	5.74	5.68	3.58	0	4
0.71	 E	 VS2	62.2	57	2776	5.79	5.62	3.55	0	5
0.54	 E	 VVS2	61.6	56	2776	5.25	5.27	3.24	0	5
0.54	 E	 VVS2	61.5	57	2776	5.24	5.26	3.23	0	5
0.72	 G	 SI1	61.8	56	2776	5.72	5.75	3.55	0	5
0.72	 G	 SI1	60.7	56	2776	5.79	5.82	3.53	0	5
0.72	 G	 VS2	59.7	60.5	2776	5.8	5.84	3.47	0	2
0.71	 G	 SI1	60.5	56	2776	5.8	5.76	3.5	0	5
0.7	 D	 VS1	62.7	58	2777	5.66	5.73	3.57	0	3
0.71	 F	 VS2	62.1	58	2777	5.67	5.7	3.53	0	4
0.71	 F	 VS2	62.8	57	2777	5.64	5.69	3.56	0	3
0.71	 F	 VS2	63.8	58	2777	5.61	5.64	3.59	0	2
0.71	 F	 VS2	57.8	60	2777	5.87	5.9	3.4	0	2
0.7	 E	 VS2	62.1	55	2777	5.7	5.67	3.53	0	5
0.7	 E	 VS2	61.1	60	2777	5.71	5.64	3.47	0	4
0.7	 E	 SI1	60	59	2777	5.79	5.75	3.46	0	4
0.7	 E	 SI1	61.2	57	2777	5.73	5.68	3.49	0	4
0.7	 E	 SI1	62.7	59	2777	5.67	5.63	3.54	0	4
0.7	 E	 SI1	61	57	2777	5.73	5.68	3.48	0	4
0.7	 E	 SI1	61	58	2777	5.78	5.72	3.51	0	4
0.7	 E	 SI1	61.4	57	2777	5.76	5.7	3.52	0	5
0.72	 F	 SI1	61.8	61	2777	5.82	5.71	3.56	0	4
0.7	 E	 SI1	59.9	63	2777	5.76	5.7	3.43	0	3
0.7	 E	 SI1	61.3	58	2777	5.71	5.68	3.49	0	4
0.7	 E	 SI1	60.5	58	2777	5.77	5.74	3.48	0	4
0.7	 E	 VS2	64.1	59	2777	5.64	5.59	3.6	0	2
0.98	 H	 SI2	67.9	60	2777	6.05	5.97	4.08	1	1
0.78	 F	 SI1	62.4	58	2777	5.83	5.8	3.63	0	4
0.7	 E	 SI1	63.2	60	2777	5.6	5.51	3.51	0	3
0.52	 F	 VVS1	61.3	55	2778	5.19	5.22	3.19	0	5
0.73	 H	 VS2	60.8	56	2779	5.82	5.84	3.55	0	3
0.74	 E	 SI1	61.7	56	2779	5.84	5.8	3.59	0	5
0.7	 F	 VS2	63.6	57	2780	5.61	5.65	3.58	0	3
0.77	 G	 VS2	61.2	58	2780	5.9	5.93	3.62	0	4
0.71	 F	 VS2	62.1	54	2780	5.68	5.72	3.54	0	5
0.74	 G	 VS1	61.5	55	2780	5.81	5.86	3.59	0	5
0.7	 G	 VS1	61.4	59	2780	5.64	5.73	3.49	0	5
1.01	 F	 I1	61.8	60	2781	6.39	6.36	3.94	1	4
0.77	 H	 SI1	62.2	56	2781	5.83	5.88	3.64	0	5
0.78	 H	 SI1	61.2	56	2781	5.92	5.99	3.64	0	5
0.72	 H	 VS1	60.6	63	2782	5.83	5.76	3.51	0	3
0.53	 D	 VVS2	57.5	64	2782	5.34	5.37	3.08	0	3
0.76	 G	 VS2	61.3	56	2782	5.9	5.94	3.63	0	5
0.7	 E	 VS1	57.2	62	2782	5.81	5.77	3.31	0	2
0.7	 E	 VS1	62.9	60	2782	5.62	5.54	3.51	0	4
0.75	 D	 SI2	63.1	58	2782	5.78	5.73	3.63	0	3
0.72	 D	 SI1	60.8	57	2782	5.76	5.75	3.5	0	5
0.72	 D	 SI1	62.7	59	2782	5.73	5.69	3.58	0	4
0.7	 D	 SI1	62.8	60	2782	5.68	5.66	3.56	0	4
0.84	 G	 SI1	55.1	67	2782	6.39	6.2	3.47	1	1
0.75	 F	 SI1	61.4	59	2782	5.88	5.85	3.6	0	4
0.52	 F	 IF	62.2	55	2783	5.14	5.18	3.21	0	5
0.72	 F	 VS2	63	54	2784	5.69	5.73	3.6	0	3
0.79	 H	 VS1	63.7	56	2784	5.85	5.92	3.75	0	3
0.72	 F	 VS2	63.6	58	2787	5.66	5.69	3.61	0	3
0.51	 F	 VVS1	62	57	2787	5.11	5.15	3.18	0	5
0.64	 D	 VS1	61.5	56	2787	5.54	5.55	3.41	0	5
0.7	 H	 VVS1	60.5	60	2788	5.74	5.77	3.48	0	3
0.83	 I	 VS1	61.1	60	2788	6.07	6.1	3.72	1	3
0.76	 I	 VVS2	61.8	56	2788	5.85	5.87	3.62	0	5
0.71	 D	 VS2	63.3	56	2788	5.64	5.68	3.58	0	2
0.77	 G	 VS1	59.4	64	2788	5.97	5.92	3.53	0	2
0.71	 F	 SI1	62.5	55	2788	5.71	5.65	3.55	0	5
1.01	 E	 I1	64.5	58	2788	6.29	6.21	4.03	1	1
1.01	 H	 SI2	62.7	59	2788	6.31	6.22	3.93	1	4
0.77	 F	 SI1	64.2	52	2789	5.81	5.77	3.72	0	2
0.76	 E	 SI1	63.7	54	2789	5.76	5.85	3.7	0	2
0.76	 E	 SI1	60.4	58	2789	5.92	5.94	3.58	0	4
0.76	 E	 SI1	61.8	58	2789	5.82	5.86	3.61	0	4
1.05	 J	 SI2	63.2	56	2789	6.49	6.45	4.09	1	3
0.81	 G	 SI2	61.6	56	2789	5.97	6.01	3.69	1	5
0.7	 E	 SI1	61.6	56	2789	5.72	5.75	3.53	0	5
0.55	 G	 IF	60.9	57	2789	5.28	5.3	3.22	0	5
0.81	 G	 SI2	61	61	2789	5.94	5.99	3.64	1	2
0.63	 E	 VVS2	62.1	57	2789	5.48	5.41	3.38	0	4
0.63	 E	 VVS1	60.9	60	2789	5.55	5.52	3.37	0	4
0.77	 H	 VS1	61.3	60	2789	5.9	5.88	3.61	0	4
1.05	 J	 SI2	65.8	59	2789	6.41	6.27	4.18	1	1
0.64	 G	 IF	61.3	56	2790	5.54	5.58	3.41	0	5
0.76	 I	 VVS1	58.8	59	2790	6	5.94	3.51	0	4
0.83	 F	 SI2	62.3	55	2790	6.02	6.05	3.76	1	5
0.71	 F	 VS1	60.1	62	2790	5.77	5.74	3.46	0	4
0.71	 F	 VS1	61.8	59	2790	5.73	5.69	3.53	0	4
0.87	 I	 SI1	63.6	55.8	2791	6.07	6.1	3.87	1	3
0.73	 E	 SI1	62.2	56	2791	5.74	5.78	3.58	0	5
0.71	 E	 SI1	59.2	59	2792	5.83	5.86	3.46	0	4
0.71	 E	 SI1	61.8	59	2792	5.7	5.75	3.54	0	4
0.71	 E	 SI1	61.3	55	2792	5.72	5.77	3.52	0	5
0.7	 F	 VS1	62.1	60	2792	5.71	5.65	3.53	0	4
0.7	 F	 VS1	60.7	60	2792	5.78	5.75	3.5	0	4
0.76	 H	 VVS2	59.6	57	2792	5.91	5.86	3.51	0	4
0.7	 F	 VS1	62.2	56	2792	5.73	5.68	3.55	0	5
0.79	 G	 SI1	60.6	57	2793	5.98	6.06	3.65	0	3
0.7	 E	 VS2	62.9	57	2793	5.66	5.69	3.57	0	3
0.7	 E	 VS2	64.1	55	2793	5.6	5.66	3.61	0	2
0.76	 I	 VS2	61.3	56	2793	5.87	5.91	3.61	0	5
0.73	 H	 VS2	62.7	55	2793	5.72	5.76	3.6	0	5
0.79	 E	 SI1	63.2	56	2794	5.91	5.86	3.72	0	3
0.71	 E	 VS2	60.7	56	2795	5.81	5.82	3.53	0	3
0.81	 I	 VVS2	61.9	60	2795	5.91	5.86	3.64	1	4
0.81	 F	 SI2	62.6	55	2795	5.92	5.96	3.72	1	5
0.72	 F	 VS1	60.7	60	2795	5.74	5.72	3.48	0	2
0.72	 D	 SI2	62	60	2795	5.73	5.69	3.54	0	4
0.72	 I	 IF	63	57	2795	5.72	5.7	3.6	0	4
0.81	 H	 VS2	58	59	2795	6.17	6.13	3.57	1	4
0.72	 G	 VS2	62.9	57	2795	5.73	5.65	3.58	0	4
1	 I	 SI2	58.2	60	2795	6.61	6.55	3.83	1	4
0.73	 E	 SI1	63.2	58	2796	5.7	5.76	3.62	0	2
0.81	 H	 SI2	61.3	59	2797	5.94	6.01	3.66	1	3
0.81	 E	 SI1	60.3	60	2797	6.07	6.1	3.67	1	3
0.71	 D	 SI1	62.7	60	2797	5.67	5.71	3.57	0	4
0.71	 D	 SI1	61.3	58	2797	5.73	5.75	3.52	0	4
0.71	 D	 SI1	61.6	60	2797	5.74	5.69	3.52	0	4
0.57	 F	 VVS2	61.9	55	2797	5.34	5.35	3.31	0	5
0.51	 D	 VVS1	61.7	56	2797	5.12	5.16	3.17	0	5
0.72	 G	 VS2	61.9	58	2797	5.72	5.75	3.55	0	5
0.74	 H	 VS1	61.8	58	2797	5.77	5.81	3.58	0	5
0.74	 H	 VS1	61.6	56	2797	5.81	5.82	3.58	0	5
0.7	 G	 VVS1	58.8	66	2797	5.81	5.9	3.44	0	1
0.8	 F	 SI2	61	57	2797	6.03	6.01	3.67	1	4
1.01	 E	 SI2	67.4	60	2797	6.19	6.05	4.13	1	1
0.8	 H	 VS2	63.4	60	2797	5.92	5.82	3.72	1	3
0.77	 I	 VS1	61.5	59	2798	5.87	5.91	3.62	0	5
0.83	 E	 SI2	58	62	2799	6.19	6.25	3.61	1	3
0.82	 F	 SI2	62.4	54	2799	5.97	6.02	3.74	1	5
0.78	 D	 SI1	61.9	57	2799	5.91	5.86	3.64	0	5
0.6	 G	 IF	61.6	56	2800	5.43	5.46	3.35	0	3
0.9	 I	 SI2	62.2	59	2800	6.07	6.11	3.79	1	2
0.7	 E	 VS1	62.2	58	2800	5.6	5.66	3.5	0	4
0.9	 I	 SI2	61.3	56	2800	6.17	6.23	3.8	1	3
0.83	 G	 SI1	62.3	57	2800	5.99	6.08	3.76	1	5
0.83	 G	 SI1	61.8	57	2800	6.03	6.07	3.74	1	5
0.83	 H	 SI1	62.5	59	2800	5.95	6.02	3.74	1	3
0.74	 G	 VS1	62.9	60	2800	5.74	5.68	3.59	0	4
0.79	 I	 VS1	61.8	59	2800	5.92	5.95	3.67	0	5
0.61	 G	 IF	62.3	56	2800	5.43	5.45	3.39	0	5
0.76	 G	 VS1	59	70	2800	5.89	5.8	3.46	0	1
0.96	 F	 I1	60.7	55	2801	6.37	6.41	3.88	1	5
0.73	 F	 VS2	62.5	55	2801	5.8	5.76	3.61	0	5
0.73	 F	 VS2	62.7	58	2801	5.76	5.7	3.59	0	4
0.75	 H	 SI1	60.4	57	2801	5.93	5.96	3.59	0	5
0.71	 F	 VS2	62.1	58	2801	5.7	5.67	3.53	0	4
0.71	 F	 VS2	57.8	60	2801	5.9	5.87	3.4	0	2
0.71	 F	 VS2	63.8	58	2801	5.64	5.61	3.59	0	2
0.71	 F	 VS2	62.8	57	2801	5.69	5.64	3.56	0	4
1.04	 G	 I1	62.2	58	2801	6.46	6.41	4	1	4
1	 J	 SI2	62.3	58	2801	6.45	6.34	3.98	1	4
0.87	 G	 SI2	59.9	58	2802	6.19	6.23	3.72	1	3
0.53	 F	 IF	61.9	54	2802	5.22	5.25	3.24	0	5
0.72	 E	 VS2	63	55	2802	5.79	5.61	3.59	0	4
0.72	 F	 VS1	62.4	58	2802	5.83	5.7	3.6	0	4
0.7	 F	 VS2	62.9	58	2803	5.63	5.65	3.55	0	3
0.74	 E	 SI1	63.5	56	2803	5.74	5.79	3.66	0	3
0.71	 G	 VS2	61.3	56	2803	5.75	5.71	3.51	0	5
0.73	 E	 SI1	60.6	54	2803	5.84	5.89	3.55	0	5
0.7	 G	 VS1	65.1	58	2803	5.56	5.59	3.63	0	2
0.71	 F	 VS2	62.6	58	2803	5.7	5.67	3.56	0	4
0.71	 F	 VS2	58	62	2803	5.85	5.81	3.38	0	4
0.71	 G	 VS1	62.4	61	2803	5.7	5.65	3.54	0	4
0.77	 G	 VS2	61.3	57	2803	5.93	5.88	3.62	0	4
0.71	 G	 VS2	59.9	60	2803	5.81	5.77	3.47	0	4
0.78	 G	 VS2	60.8	58	2803	6.03	5.95	3.64	0	4
0.71	 G	 VS1	63.5	55	2803	5.66	5.64	3.59	0	3
0.91	 D	 SI2	62.2	57	2803	6.21	6.15	3.85	1	5
0.71	 E	 VS2	63.8	58	2804	5.62	5.66	3.6	0	3
0.71	 E	 VS2	64	57	2804	5.66	5.68	3.63	0	3
0.8	 E	 SI2	62.5	56	2804	5.88	5.96	3.7	1	3
0.7	 D	 SI1	62.3	58	2804	5.69	5.73	3.56	0	3
0.72	 F	 VS1	61.7	57	2804	5.74	5.77	3.55	0	5
0.72	 F	 VS1	62.2	58	2804	5.75	5.7	3.56	0	3
0.82	 H	 VS2	61.5	56	2804	6.01	6.08	3.72	1	5
0.7	 D	 SI1	61	59	2804	5.68	5.7	3.47	0	5
0.72	 D	 SI1	62.2	56	2804	5.74	5.77	3.58	0	5
0.72	 D	 SI1	61.5	54	2804	5.77	5.8	3.56	0	5
0.9	 I	 SI1	67.3	59	2804	5.93	5.84	3.96	1	1
0.74	 F	 VS2	61.7	58	2805	5.85	5.78	3.59	0	4
0.74	 F	 VS2	61.9	56	2805	5.8	5.77	3.58	0	4
0.73	 E	 SI2	61.8	58	2805	5.77	5.81	3.58	0	5
0.57	 E	 VVS1	58.7	66	2805	5.34	5.43	3.16	0	1
0.73	 F	 VS2	62.5	57	2805	5.75	5.7	3.58	0	4
0.72	 G	 VS2	62.8	56	2805	5.74	5.7	3.59	0	5
0.74	 F	 VS2	61.1	68	2805	5.82	5.75	3.53	0	1
0.82	 G	 VS2	64	57	2805	5.92	5.89	3.78	1	2
0.81	 G	 SI1	62.5	60	2806	5.89	5.94	3.69	1	3
0.75	 H	 VVS1	60.6	58	2806	5.85	5.9	3.56	0	3
0.7	 F	 SI1	61.6	55	2806	5.72	5.74	3.53	0	5
0.71	 F	 VS1	62.2	58	2807	5.66	5.72	3.54	0	3
0.71	 F	 VS1	60	57	2807	5.84	5.9	3.52	0	3
0.93	 J	 SI2	61.9	57	2807	6.21	6.19	3.84	1	4
0.8	 H	 VS2	62.8	57	2808	5.87	5.91	3.7	1	3
0.7	 F	 VS1	62	57	2808	5.64	5.71	3.52	0	3
1	 G	 I1	66.4	59	2808	6.16	6.09	4.07	1	1
0.75	 G	 VS2	63.4	56	2808	5.78	5.74	3.65	0	3
0.58	 E	 VVS2	60.9	56	2808	5.41	5.43	3.3	0	5
0.73	 D	 SI1	63.1	57	2808	5.74	5.7	3.61	0	3
0.81	 F	 SI1	63.1	59	2809	5.85	5.79	3.67	1	3
0.81	 D	 SI2	59.2	57	2809	6.15	6.05	3.61	1	4
0.71	 F	 SI1	60.7	54	2809	5.84	5.8	3.53	0	4
1.2	 F	 I1	64.6	56	2809	6.73	6.66	4.33	1	1
0.7	 F	 VS1	61.8	56	2810	5.63	5.7	3.5	0	3
0.7	 F	 VS1	59.9	60	2810	5.77	5.84	3.48	0	3
0.74	 D	 SI2	61.7	55	2810	5.81	5.85	3.6	0	5
